"   ";"CASEWHENSUBSTR(ART.TXT_ISSN_IS"
"1";"1051-2284"
"2";"1518-2487"
"3";"0091-3057"
"4";"1072-0502"
"5";"0100-0683"
"6";"0963-8695"
"7";"0168-583X"
"8";"0300-8177"
"9";"0736-5748"
"10";"0014-827X"
"11";"0212-4521"
"12";"0886-022X"
"13";"1519-2512"
"14";"1413-294X"
"15";"1519-874X"
"16";"0891-0618"
"17";"1086-9379"
"18";"0022-4049"
"19";"1415-6571"
"20";"0024-3205"
"21";"0023-8309"
"22";"046 -9939"
"23";"1678-8931"
"24";"0047-2077"
"25";"0032-3861"
"26";"0040-3504"
"27";"1021-5506"
"28";"0144-8617"
"29";"0022-0957"
"30";"1676-0816"
"31";"1518-7853"
"32";"1517-848X"
"33";"0102-4981"
"34";"0939-5075"
"35";"1072-7140"
"36";"1517-9192"
"37";"0124-7581"
"38";"0166-6851"
"39";"0165-3806"
"40";"0042-3955"
"41";"1678-6424"
"42";"0798-4545"
"43";"1518-7779"
"44";"0104-8570"
"45";"0102-9304"
"46";"1516-974X"
"47";"1806-3713"
"48";"1518-779X"
"49";"1414-1434"
"50";"0896-8446"
"51";"0566-1854"
"52";"1517-6290"
"53";"0102-536"
"54";"1676-0573"
"55";"1677-4647"
"56";"1517-4549"
"57";"0104-4931"
"58";"1414-042X"
"59";"0141-9838"
"60";"1518-1219"
"61";"0021-9797"
"62";"0020-9910"
"63";"1980-6442"
"64";"1676-5680"
"65";"1984-8226"
"66";"0963-8288"
"67";"1414-0055"
"68";"0034-9860"
"69";"0303-9021"
"70";"0003-9527"
"71";"0010-3616"
"72";"1413-2591"
"73";"1554-0014"
"74";"0028-3630"
"75";"0101-5842"
"76";"1413-666X"
"77";"0168-9002"
"78";"8571-3962"
"79";"0102-2105"
"80";"0003-0082"
"81";"0103-944X"
"82";"0141-3910"
"83";"0104-8244"
"84";"1515-3282"
"85";"1415-6822"
"86";"151 -5370"
"87";"0025-5831"
"88";"0955-9930"
"89";"0033-4545"
"90";"0716-0208"
"91";"0990-7440"
"92";"0100-0551"
"93";"0028-3908"
"94";"0163-2116"
"95";"1677-7387"
"96";"1556-6811"
"97";"0104-0219"
"98";"1463-9076"
"99";"0002-2667"
"100";"0090-4295"
"101";"1579-8763"
"102";"0022-2933"
"103";"0003-276X"
"104";"0016-5107"
"105";"1347-9733"
"106";"0104-3773"
"107";"0165-0173"
"108";"1422-6375"
"109";"0032-5791"
"110";"2316-7114"
"111";"1980-6574"
"112";"1414-0594"
"113";"0104-9275"
"114";"1808-219X"
"115";"0324-8569"
"116";"1516-4144"
"117";"0167-594X"
"118";"1517-7645"
"119";"0884-2914"
"120";"1549-3296"
"121";"1519-7573"
"122";"1517-106X"
"123";"1059-1311"
"124";"1414-655X"
"125";"0102-700X"
"126";"1809-0362"
"127";"0263-0346"
"128";"1415-3211"
"129";"1809-4783"
"130";"0377-0257"
"131";"1807-9008"
"132";"0973-3345"
"133";"1462-2416"
"134";"1678-1848"
"135";"1809-8894"
"136";"1516-1382"
"137";"1617-4615"
"138";"1676-7373"
"139";"1535-9778"
"140";"1516-6341"
"141";"0021-9991"
"142";"1679-7361"
"143";"1807-8842"
"144";"0218-3013"
"145";"1980-5373"
"146";"1983-0882"
"147";"2179-0981"
"148";"2468-0230"
"149";"0305-7372"
"150";"1612-9202"
"151";"0271-4132"
"152";"1519-6178"
"153";"1806-8669"
"154";"0019-2082"
"155";"1676-9929"
"156";"1058-5893"
"157";"0001-5172"
"158";"1099-2391"
"159";"0049-6979"
"160";"0145-479X"
"161";"0717-3644"
"162";"1423-0216"
"163";"1516-6228"
"164";"1460-244X"
"165";"0304-3843"
"166";"1518-8507"
"167";"0301-0171"
"168";"1518-2606"
"169";"0100-3986"
"170";"1557-4989"
"171";"0103-1457"
"172";"1807-3778"
"173";"1518-2282"
"174";"0040-6031"
"175";"SEM -INFO"
"176";"1676-2843"
"177";"1519-5023"
"178";"9999-999"
"179";"1519-2571"
"180";"1081-1206"
"181";"1564-8370"
"182";"0931-1785"
"183";"0104-5687"
"184";"1516-4837"
"185";"0104-0588"
"186";"1518-9554"
"187";"1516-2958"
"188";"0958-6946"
"189";"0104-4257"
"190";"0257-8972"
"191";"0034-7272"
"192";"0873-1152"
"193";"1518-9929"
"194";"0947-7349"
"195";"1615-4150"
"196";"1066-8969"
"197";"0080-6234"
"198";"0168-1591"
"199";"1048-891X"
"200";"0104-0618"
"201";"1040-2446"
"202";"1677-4310"
"203";"1431-7613"
"204";"0960-7447"
"205";"0018-9286"
"206";"1413-054"
"207";"0046-0039"
"208";"2175-4683"
"209";"0101-9759"
"210";"0958-0344"
"211";"0141-5492"
"212";"1980-4237"
"213";"0304-4238"
"214";"0103-5541"
"215";"0966-0844"
"216";"1381-6128"
"217";"0250-832X"
"218";"1655-6180"
"219";"1806-9436"
"220";"1071-1023"
"221";"1058-25X"
"222";"1516-4179"
"223";"1415-6261"
"224";"1678-3778"
"225";"1415-4668"
"226";"1018-4732"
"227";"1517-3127"
"228";"1517-3100"
"229";"0032-9592"
"230";"1350-4827"
"231";"1809-3256"
"232";"2182-2999"
"233";"1055-6656"
"234";"1519-8227"
"235";"1478-3223"
"236";"1678-8982"
"237";"1519-9487"
"238";"1414-9354"
"239";"0532-8721"
"240";"1518-7799"
"241";"0101-756X"
"242";"0101-4919"
"243";"0306-4603"
"244";"0031-8256"
"245";"1667-5937"
"246";"1665-613X"
"247";"0373-840X"
"248";"0931-041X"
"249";"1807-6092"
"250";"0304-3894"
"251";"1516-3865"
"252";"0214-8927"
"253";"1980-5624"
"254";"1981-1489"
"255";"0143-974X"
"256";"0957-4352"
"257";"1517-973X"
"258";"1537-744X"
"259";"1415-1804"
"260";"1865-7125"
"261";"1517-5251"
"262";"1678-4294"
"263";"0021-3624"
"264";"0931-2048"
"265";"1080-7683"
"266";"1516-7534"
"267";"1809-4694"
"268";"1413-7046"
"269";"0126-6780"
"270";"1424-6376"
"271";"0016-531X"
"272";"8756-7938"
"273";"0101-9562"
"274";"1259-1920"
"275";"1078-5884"
"276";"2237-6321"
"277";"1676-8329"
"278";"0872-0991"
"279";"1054-660X"
"280";"0008-3674"
"281";"0895-8696"
"282";"1617-1302"
"283";"1679-3005"
"284";"1679-348X"
"285";"1812-5670"
"286";"1808-0588"
"287";"1414-4425"
"288";" 020-8132"
"289";"1414-7378"
"290";"0882-0287"
"291";"0039-128X"
"292";"0039-7857"
"293";"0167-739X"
"294";"1518-2819"
"295";"0954-3007"
"296";"0001-4966"
"297";"0264-8172"
"298";"1678-5304"
"299";"0327-0300"
"300";"0101-4838"
"301";"0250-3980"
"302";"1519-1834"
"303";"1679-9259"
"304";"1678-8621"
"305";"0871-9187"
"306";"1450-1147"
"307";"1165-6638"
"308";"0362-028X"
"309";"1519-3306"
"310";"1678-7234"
"311";"1517-8471"
"312";"1679-4427"
